Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
1 st run,Chrome 67.0.3396.99,,2018-07-24 17:52:59,2018-07-24 17:54:35,1m - 35.554s,FAILED
,,,,,,
Test Cases/LoginPage,Chrome 67.0.3396.99,,2018-07-24 17:53:00,2018-07-24 17:53:43,43.391s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 17:53:01,2018-07-24 17:53:04,3.585s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 17:53:04,2018-07-24 17:53:09,5.313s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:53:09,2018-07-24 17:53:10,0.106s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 17:53:10,2018-07-24 17:53:10,0.106s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 17:53:10,2018-07-24 17:53:10,0.223s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:53:10,2018-07-24 17:53:12,2.203s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:53:12,2018-07-24 17:53:43,31.115s,FAILED
,,,,,,
Test Cases/Homepage,Chrome 67.0.3396.99,,2018-07-24 17:53:43,2018-07-24 17:54:34,50.672s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 17:53:43,2018-07-24 17:53:46,3.082s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 17:53:46,2018-07-24 17:53:51,4.885s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:53:51,2018-07-24 17:53:51,0.065s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-07-24 17:53:51,2018-07-24 17:54:34,42.515s,FAILED
