Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
1 st run,Firefox 57.0,,2018-07-24 15:28:57,2018-07-24 15:29:45,47.977s,PASSED
,,,,,,
Test Cases/LoginPage,Firefox 57.0,,2018-07-24 15:28:57,2018-07-24 15:29:16,18.624s,PASSED
openBrowser,Firefox 57.0,,2018-07-24 15:28:58,2018-07-24 15:29:08,9.960s,PASSED
navigateToUrl,Firefox 57.0,,2018-07-24 15:29:08,2018-07-24 15:29:12,4.531s,PASSED
click,Firefox 57.0,,2018-07-24 15:29:12,2018-07-24 15:29:13,0.287s,PASSED
setText,Firefox 57.0,,2018-07-24 15:29:13,2018-07-24 15:29:13,0.071s,PASSED
setEncryptedText,Firefox 57.0,,2018-07-24 15:29:13,2018-07-24 15:29:13,0.560s,PASSED
click,Firefox 57.0,,2018-07-24 15:29:13,2018-07-24 15:29:16,2.515s,PASSED
click,Firefox 57.0,,2018-07-24 15:29:16,2018-07-24 15:29:16,0.244s,PASSED
,,,,,,
Test Cases/Homepage,Firefox 57.0,,2018-07-24 15:29:16,2018-07-24 15:29:45,28.866s,PASSED
openBrowser,Firefox 57.0,,2018-07-24 15:29:16,2018-07-24 15:29:21,5.335s,PASSED
navigateToUrl,Firefox 57.0,,2018-07-24 15:29:21,2018-07-24 15:29:26,4.707s,PASSED
click,Firefox 57.0,,2018-07-24 15:29:26,2018-07-24 15:29:26,0.248s,PASSED
callTestCase,Firefox 57.0,,2018-07-24 15:29:26,2018-07-24 15:29:40,13.248s,PASSED
click,Firefox 57.0,,2018-07-24 15:29:40,2018-07-24 15:29:40,0.232s,PASSED
click,Firefox 57.0,,2018-07-24 15:29:40,2018-07-24 15:29:40,0.223s,PASSED
click,Firefox 57.0,,2018-07-24 15:29:40,2018-07-24 15:29:40,0.231s,PASSED
click,Firefox 57.0,,2018-07-24 15:29:40,2018-07-24 15:29:41,0.222s,PASSED
click,Firefox 57.0,,2018-07-24 15:29:41,2018-07-24 15:29:41,0.228s,PASSED
click,Firefox 57.0,,2018-07-24 15:29:41,2018-07-24 15:29:41,0.227s,PASSED
click,Firefox 57.0,,2018-07-24 15:29:41,2018-07-24 15:29:42,0.536s,PASSED
click,Firefox 57.0,,2018-07-24 15:29:42,2018-07-24 15:29:44,1.934s,PASSED
click,Firefox 57.0,,2018-07-24 15:29:44,2018-07-24 15:29:44,0.238s,PASSED
click,Firefox 57.0,,2018-07-24 15:29:44,2018-07-24 15:29:45,0.772s,PASSED
closeBrowser,Firefox 57.0,,2018-07-24 15:29:45,2018-07-24 15:29:45,0.315s,PASSED
