Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
1 st run,Chrome 67.0.3396.99,,2018-07-26 15:07:35,2018-07-26 15:08:18,42.547s,FAILED
,,,,,,
Test Cases/LoginPage,Chrome 67.0.3396.99,,2018-07-26 15:07:35,2018-07-26 15:07:48,12.545s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:07:36,2018-07-26 15:07:38,2.695s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:07:38,2018-07-26 15:07:44,5.229s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:07:44,2018-07-26 15:07:44,0.103s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:07:44,2018-07-26 15:07:44,0.093s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 15:07:44,2018-07-26 15:07:44,0.225s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:07:44,2018-07-26 15:07:48,3.863s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:07:48,2018-07-26 15:07:48,0.068s,PASSED
,,,,,,
Test Cases/Homepage,Chrome 67.0.3396.99,,2018-07-26 15:07:48,2018-07-26 15:08:17,29.083s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:07:48,2018-07-26 15:07:51,2.620s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:07:51,2018-07-26 15:07:55,4.708s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:07:55,2018-07-26 15:07:55,0.076s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-07-26 15:07:55,2018-07-26 15:08:07,11.757s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-26 15:08:07,2018-07-26 15:08:07,0.028s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:08:07,2018-07-26 15:08:09,1.483s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:08:09,2018-07-26 15:08:11,1.794s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:08:11,2018-07-26 15:08:12,1.085s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:08:12,2018-07-26 15:08:13,1.151s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:08:13,2018-07-26 15:08:13,0.073s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:08:13,2018-07-26 15:08:13,0.553s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:08:13,2018-07-26 15:08:17,3.250s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:08:17,2018-07-26 15:08:17,0.060s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:08:17,2018-07-26 15:08:17,0.318s,FAILED
