Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
1 st run,Firefox 57.0,,2018-07-24 17:52:59,2018-07-24 17:54:44,1m - 45.060s,FAILED
,,,,,,
Test Cases/LoginPage,Firefox 57.0,,2018-07-24 17:53:00,2018-07-24 17:53:48,48.744s,FAILED
openBrowser,Firefox 57.0,,2018-07-24 17:53:00,2018-07-24 17:53:10,10.235s,PASSED
navigateToUrl,Firefox 57.0,,2018-07-24 17:53:10,2018-07-24 17:53:15,4.463s,PASSED
click,Firefox 57.0,,2018-07-24 17:53:15,2018-07-24 17:53:15,0.267s,PASSED
setText,Firefox 57.0,,2018-07-24 17:53:15,2018-07-24 17:53:15,0.069s,PASSED
setEncryptedText,Firefox 57.0,,2018-07-24 17:53:15,2018-07-24 17:53:16,0.394s,PASSED
click,Firefox 57.0,,2018-07-24 17:53:16,2018-07-24 17:53:18,2.164s,PASSED
click,Firefox 57.0,,2018-07-24 17:53:18,2018-07-24 17:53:48,30.604s,FAILED
,,,,,,
Test Cases/Homepage,Firefox 57.0,,2018-07-24 17:53:48,2018-07-24 17:54:44,55.420s,FAILED
openBrowser,Firefox 57.0,,2018-07-24 17:53:49,2018-07-24 17:53:55,6.910s,PASSED
navigateToUrl,Firefox 57.0,,2018-07-24 17:53:55,2018-07-24 17:54:00,4.556s,PASSED
click,Firefox 57.0,,2018-07-24 17:54:00,2018-07-24 17:54:00,0.243s,PASSED
callTestCase,Firefox 57.0,,2018-07-24 17:54:00,2018-07-24 17:54:44,43.586s,FAILED
