Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
1 st run,Chrome 67.0.3396.99,,2018-07-26 15:04:43,2018-07-26 15:05:25,41.463s,FAILED
,,,,,,
Test Cases/LoginPage,Chrome 67.0.3396.99,,2018-07-26 15:04:44,2018-07-26 15:04:56,12.081s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:04:44,2018-07-26 15:04:47,2.764s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:04:47,2018-07-26 15:04:51,4.551s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:04:51,2018-07-26 15:04:51,0.105s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:04:51,2018-07-26 15:04:51,0.097s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 15:04:51,2018-07-26 15:04:52,0.231s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:04:52,2018-07-26 15:04:56,4.015s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:04:56,2018-07-26 15:04:56,0.065s,PASSED
,,,,,,
Test Cases/Homepage,Chrome 67.0.3396.99,,2018-07-26 15:04:56,2018-07-26 15:05:24,28.481s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:04:56,2018-07-26 15:04:58,2.546s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:04:58,2018-07-26 15:05:03,4.594s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:05:03,2018-07-26 15:05:03,0.073s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-07-26 15:05:03,2018-07-26 15:05:15,11.660s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-26 15:05:15,2018-07-26 15:05:15,0.027s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:05:15,2018-07-26 15:05:16,1.496s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:05:16,2018-07-26 15:05:18,1.660s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:05:18,2018-07-26 15:05:19,1.107s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:05:19,2018-07-26 15:05:20,1.153s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:05:20,2018-07-26 15:05:20,0.073s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:05:20,2018-07-26 15:05:21,0.489s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:05:21,2018-07-26 15:05:24,3.108s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:05:24,2018-07-26 15:05:24,0.081s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:05:24,2018-07-26 15:05:24,0.300s,FAILED
