Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
1 st run,Chrome 67.0.3396.99,,2018-07-24 17:50:45,2018-07-24 17:52:04,1m - 19.646s,FAILED
,,,,,,
Test Cases/LoginPage,Chrome 67.0.3396.99,,2018-07-24 17:50:45,2018-07-24 17:51:29,43.282s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 17:50:46,2018-07-24 17:50:50,3.548s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 17:50:50,2018-07-24 17:50:55,5.115s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:50:55,2018-07-24 17:50:55,0.122s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 17:50:55,2018-07-24 17:50:55,0.103s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 17:50:55,2018-07-24 17:50:55,0.287s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:50:55,2018-07-24 17:50:57,2.195s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:50:57,2018-07-24 17:51:29,31.121s,FAILED
,,,,,,
Test Cases/Homepage,Chrome 67.0.3396.99,,2018-07-24 17:51:29,2018-07-24 17:52:04,35.284s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 17:51:29,2018-07-24 17:51:31,2.774s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 17:51:31,2018-07-24 17:51:36,4.797s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:51:36,2018-07-24 17:51:36,0.079s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-07-24 17:51:36,2018-07-24 17:52:04,27.510s,FAILED
