Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
1 st run,Chrome 67.0.3396.99,,2018-07-26 12:54:09,2018-07-26 12:54:53,44.520s,FAILED
,,,,,,
Test Cases/LoginPage,Chrome 67.0.3396.99,,2018-07-26 12:54:09,2018-07-26 12:54:23,13.564s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 12:54:10,2018-07-26 12:54:12,2.728s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 12:54:12,2018-07-26 12:54:18,5.805s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 12:54:18,2018-07-26 12:54:18,0.105s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 12:54:18,2018-07-26 12:54:18,0.099s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 12:54:18,2018-07-26 12:54:18,0.227s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 12:54:18,2018-07-26 12:54:23,4.247s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 12:54:23,2018-07-26 12:54:23,0.083s,PASSED
,,,,,,
Test Cases/Homepage,Chrome 67.0.3396.99,,2018-07-26 12:54:23,2018-07-26 12:54:53,30.054s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 12:54:23,2018-07-26 12:54:25,2.533s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 12:54:25,2018-07-26 12:54:30,4.726s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 12:54:30,2018-07-26 12:54:30,0.071s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-07-26 12:54:30,2018-07-26 12:54:42,11.721s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-26 12:54:42,2018-07-26 12:54:42,0.032s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 12:54:42,2018-07-26 12:54:44,1.570s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 12:54:44,2018-07-26 12:54:45,1.728s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 12:54:45,2018-07-26 12:54:47,1.449s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 12:54:47,2018-07-26 12:54:48,1.229s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 12:54:48,2018-07-26 12:54:48,0.070s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 12:54:48,2018-07-26 12:54:49,0.512s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 12:54:49,2018-07-26 12:54:52,3.902s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 12:54:52,2018-07-26 12:54:53,0.065s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 12:54:53,2018-07-26 12:54:53,0.323s,FAILED
