Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
1 st run,Chrome 67.0.3396.99,,2018-07-26 15:21:45,2018-07-26 15:22:27,42.277s,FAILED
,,,,,,
Test Cases/LoginPage,Chrome 67.0.3396.99,,2018-07-26 15:21:45,2018-07-26 15:21:58,12.105s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:21:46,2018-07-26 15:21:48,2.708s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:21:48,2018-07-26 15:21:53,4.796s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:21:53,2018-07-26 15:21:53,0.099s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:21:53,2018-07-26 15:21:53,0.091s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 15:21:53,2018-07-26 15:21:54,0.217s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:21:54,2018-07-26 15:21:58,3.886s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:21:58,2018-07-26 15:21:58,0.063s,PASSED
,,,,,,
Test Cases/Homepage,Chrome 67.0.3396.99,,2018-07-26 15:21:58,2018-07-26 15:22:27,29.278s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:21:58,2018-07-26 15:22:00,2.542s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:22:00,2018-07-26 15:22:05,4.727s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:22:05,2018-07-26 15:22:05,0.079s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-07-26 15:22:05,2018-07-26 15:22:17,11.762s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-26 15:22:17,2018-07-26 15:22:17,0.028s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:22:17,2018-07-26 15:22:18,1.508s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:22:18,2018-07-26 15:22:20,1.661s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:22:20,2018-07-26 15:22:21,1.200s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:22:21,2018-07-26 15:22:23,1.379s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:22:23,2018-07-26 15:22:23,0.075s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:22:23,2018-07-26 15:22:23,0.520s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:22:23,2018-07-26 15:22:26,3.262s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:22:26,2018-07-26 15:22:27,0.092s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:22:27,2018-07-26 15:22:27,0.315s,FAILED
